,Matrix,Size,Density,Tolerance,Method,Relative error,Time,Iterations
0,spa1.mtx,1000000,0.182264,0.01,Jacobi,0.17450308074109439,0.274580717086792,49
1,spa1.mtx,1000000,0.182264,0.01,Gauss-Seidel,0.6876936213462099,0.4388549327850342,3
2,spa1.mtx,1000000,0.182264,0.01,Gradient Descent,0.11165570128262682,0.004029989242553711,11
3,spa1.mtx,1000000,0.182264,0.01,Conjugate Gradient,0.09721337257205838,0.006878852844238281,7
4,spa1.mtx,1000000,0.182264,0.1,Jacobi,1.870020490824157,0.08482861518859863,15
5,spa1.mtx,1000000,0.182264,0.1,Gauss-Seidel,1.237771958904876,0.30721473693847656,2
6,spa1.mtx,1000000,0.182264,0.1,Gradient Descent,0.24065577594242918,0.0012841224670410156,3
7,spa1.mtx,1000000,0.182264,0.1,Conjugate Gradient,0.2832917379970152,0.002462148666381836,2
8,spa2.mtx,9000000,0.18130422222222223,0.01,Jacobi,0.14988116039992358,0.4337286949157715,16
9,spa2.mtx,9000000,0.18130422222222223,0.01,Gauss-Seidel,0.0438925715183875,5.380663633346558,3
10,spa2.mtx,9000000,0.18130422222222223,0.01,Gradient Descent,0.10682390251431274,0.04896903038024902,11
11,spa2.mtx,9000000,0.18130422222222223,0.01,Conjugate Gradient,0.0930525378967828,0.05128931999206543,7
12,spa2.mtx,9000000,0.18130422222222223,0.1,Jacobi,1.729268904690047,0.13766694068908691,5
13,spa2.mtx,9000000,0.18130422222222223,0.1,Gauss-Seidel,1.8051366317515258,1.8136241436004639,1
14,spa2.mtx,9000000,0.18130422222222223,0.1,Gradient Descent,0.23502091845783704,0.01526331901550293,3
15,spa2.mtx,9000000,0.18130422222222223,0.1,Conjugate Gradient,0.276971533187395,0.021302223205566406,2
16,vem1.mtx,2825761,0.004736777101814343,0.01,Jacobi,0.3526739466216863,1.2094807624816895,196
17,vem1.mtx,2825761,0.004736777101814343,0.01,Gauss-Seidel,0.3506059876012438,10.571251630783081,99
18,vem1.mtx,2825761,0.004736777101814343,0.01,Gradient Descent,0.2703944279282821,0.009348154067993164,168
19,vem1.mtx,2825761,0.004736777101814343,0.01,Conjugate Gradient,0.013079125959802358,0.0028314590454101562,26
20,vem1.mtx,2825761,0.004736777101814343,0.1,Jacobi,0.8459960057624654,0.08274197578430176,8
21,vem1.mtx,2825761,0.004736777101814343,0.1,Gauss-Seidel,0.8316993418132548,0.5872108936309814,5
22,vem1.mtx,2825761,0.004736777101814343,0.1,Gradient Descent,0.8151454609595018,0.000484466552734375,8
23,vem1.mtx,2825761,0.004736777101814343,0.1,Conjugate Gradient,0.7544939770872384,0.0005159378051757812,6
24,vem2.mtx,6765201,0.0031373790667860424,0.01,Jacobi,0.4760848367525895,2.5533761978149414,195
25,vem2.mtx,6765201,0.0031373790667860424,0.01,Gauss-Seidel,0.4752119259722616,17.59780716896057,98
26,vem2.mtx,6765201,0.0031373790667860424,0.01,Gradient Descent,0.37778561572434455,0.01631784439086914,182
27,vem2.mtx,6765201,0.0031373790667860424,0.01,Conjugate Gradient,0.02145913647608568,0.003364086151123047,31
28,vem2.mtx,6765201,0.0031373790667860424,0.1,Jacobi,0.8761995144690952,0.07815003395080566,8
29,vem2.mtx,6765201,0.0031373790667860424,0.1,Gauss-Seidel,0.8646623931396396,0.953261137008667,5
30,vem2.mtx,6765201,0.0031373790667860424,0.1,Gradient Descent,0.8514109317128222,0.0005750656127929688,8
31,vem2.mtx,6765201,0.0031373790667860424,0.1,Conjugate Gradient,0.8028968408065376,0.0006711483001708984,6
